0.0,-4.3392968279429235e+30
2.0,-4.3392968279436193e+30
4.0,-4.33929682805151e+30
6.0,-4.339296828627598e+30
8.0,-4.339296829797516e+30
10.0,-4.339296831528149e+30
12.0,-4.339296833681024e+30
14.0,-4.3392968362309756e+30
16.0,-4.33929683917026e+30
18.0,-4.3392968424876374e+30
20.0,-4.3392968461806724e+30
22.0,-4.339296850246854e+30
24.0,-4.339296854685431e+30
26.0,-4.339296859493552e+30
28.0,-4.339296864668166e+30
30.0,-4.3392968702096496e+30
32.0,-4.339296876112491e+30
34.0,-4.339296882371798e+30
36.0,-4.339296888984884e+30
38.0,-4.339296895953298e+30
40.0,-4.3392969032696377e+30
42.0,-4.339296910927141e+30
44.0,-4.3392969189275463e+30
46.0,-4.3392969272660505e+30
48.0,-4.339296935939478e+30
50.0,-4.3392969449445965e+30
52.0,-4.339296954278701e+30
54.0,-4.339296963938989e+30
56.0,-4.3392969739226277e+30
58.0,-4.3392969842273894e+30
60.0,-4.339296994850888e+30
62.0,-4.339297005790698e+30
64.0,-4.339297017045182e+30
66.0,-4.3392970286123634e+30
68.0,-4.3392970404903237e+30
70.0,-4.339297052677823e+30
72.0,-4.339297065173434e+30
74.0,-4.339297077975652e+30
76.0,-4.339297091083754e+30
78.0,-4.33929710449674e+30
80.0,-4.3392971182135203e+30
82.0,-4.33929713223386e+30
84.0,-4.33929714655718e+30
86.0,-4.3392971611828294e+30
88.0,-4.339297176110977e+30
90.0,-4.339297191341492e+30
92.0,-4.3392972068741084e+30
94.0,-4.33929722270948e+30
96.0,-4.339297238847794e+30
98.0,-4.339297255289228e+30
100.0,-4.339297272034813e+30
102.0,-4.339297289085184e+30
104.0,-4.339297306440879e+30
106.0,-4.339297324103336e+30
108.0,-4.339297342073568e+30
110.0,-4.3392973603525323e+30
112.0,-4.339297378941993e+30
114.0,-4.33929739784345e+30
116.0,-4.339297417058177e+30
118.0,-4.3392974365883983e+30
120.0,-4.339297456435877e+30
122.0,-4.3392974766023203e+30
124.0,-4.339297497090316e+30
126.0,-4.339297517901991e+30
128.0,-4.339297539039438e+30
130.0,-4.339297560505566e+30
132.0,-4.339297582302866e+30
134.0,-4.339297604433806e+30
136.0,-4.339297626901596e+30
138.0,-4.33929764970903e+30
140.0,-4.3392976728589695e+30
142.0,-4.3392976963549237e+30
144.0,-4.339297720200003e+30
146.0,-4.339297744397333e+30
148.0,-4.33929776895069e+30
150.0,-4.339297793863482e+30
152.0,-4.339297819139144e+30
154.0,-4.3392978447816655e+30
156.0,-4.339297870794735e+30
158.0,-4.339297897182019e+30
160.0,-4.339297923947714e+30
162.0,-4.339297951095713e+30
164.0,-4.339297978629954e+30
166.0,-4.3392980065547736e+30
168.0,-4.3392980348742897e+30
170.0,-4.3392980635925865e+30
172.0,-4.339298092714136e+30
174.0,-4.3392981222432257e+30
176.0,-4.3392981521840826e+30
178.0,-4.33929818254133e+30
180.0,-4.3392982133193565e+30
182.0,-4.339298244522517e+30
184.0,-4.339298276155463e+30
186.0,-4.339298308222723e+30
188.0,-4.3392983407287593e+30
190.0,-4.3392983736782595e+30
192.0,-4.339298407075822e+30
194.0,-4.339298440925935e+30
196.0,-4.3392984752333547e+30
198.0,-4.33929851000272e+30
200.0,-4.339298545238512e+30
202.0,-4.339298580945562e+30
204.0,-4.339298617128427e+30
206.0,-4.3392986537916967e+30
208.0,-4.339298690940121e+30
210.0,-4.3392987285782987e+30
212.0,-4.33929876671076e+30
214.0,-4.3392988053422624e+30
216.0,-4.339298844477407e+30
218.0,-4.3392988841207133e+30
220.0,-4.339298924276796e+30
222.0,-4.339298964950271e+30
224.0,-4.3392990061455983e+30
226.0,-4.3392990478673917e+30
228.0,-4.3392990901201836e+30
230.0,-4.33929913290836e+30
232.0,-4.339299176236498e+30
234.0,-4.339299220109065e+30
236.0,-4.339299264530355e+30
238.0,-4.339299309504959e+30
240.0,-4.339299355037179e+30
242.0,-4.33929940113136e+30
244.0,-4.3392994477918563e+30
246.0,-4.339299495022987e+30
248.0,-4.3392995428284504e+30
250.0,-4.339299591214186e+30
252.0,-4.3392996401836046e+30
254.0,-4.3392996897390273e+30
256.0,-4.339299739886558e+30
258.0,-4.339299790630917e+30
260.0,-4.339299841975542e+30
262.0,-4.3392998939230324e+30
264.0,-4.3392999464790076e+30
266.0,-4.3392999996479757e+30
268.0,-4.3393000534333716e+30
270.0,-4.3393001078379934e+30
272.0,-4.339300162867075e+30
274.0,-4.3393002185248457e+30
276.0,-4.3393002748148077e+30
278.0,-4.3393003317398465e+30
280.0,-4.3393003893048715e+30
282.0,-4.339300447513881e+30
284.0,-4.339300506370384e+30
286.0,-4.339300565877377e+30
288.0,-4.339300626039458e+30
290.0,-4.339300686860426e+30
292.0,-4.3393007483438055e+30
294.0,-4.339300810492641e+30
296.0,-4.3393008733111697e+30
298.0,-4.3393009368031795e+30
300.0,-4.3393010009720123e+30
302.0,-4.3393010658208414e+30
304.0,-4.3393011313536344e+30
306.0,-4.339301197574045e+30
308.0,-4.339301264485351e+30
310.0,-4.339301332090756e+30
312.0,-4.339301400394047e+30
314.0,-4.339301469398696e+30
316.0,-4.339301539107978e+30
318.0,-4.339301609525092e+30
320.0,-4.339301680653608e+30
322.0,-4.3393017524968813e+30
324.0,-4.339301825058167e+30
326.0,-4.339301898340627e+30
328.0,-4.339301972347659e+30
330.0,-4.339302047082563e+30
332.0,-4.339302122548495e+30
334.0,-4.339302198748594e+30
336.0,-4.33930227568612e+30
338.0,-4.339302353364287e+30
340.0,-4.33930243178624e+30
342.0,-4.3393025109549783e+30
344.0,-4.339302590874037e+30
346.0,-4.3393026715456005e+30
348.0,-4.3393027529737926e+30
350.0,-4.339302835160912e+30
352.0,-4.3393029181105306e+30
354.0,-4.339303001825483e+30
356.0,-4.339303086308397e+30
358.0,-4.3393031715628877e+30
360.0,-4.339303257591578e+30
362.0,-4.3393033443974856e+30
364.0,-4.3393034319835384e+30
366.0,-4.339303520352704e+30
368.0,-4.339303609507883e+30
370.0,-4.3393036994519814e+30
372.0,-4.3393037901879126e+30
374.0,-4.339303881718514e+30
376.0,-4.339303974046647e+30
378.0,-4.3393040671751266e+30
380.0,-4.339304161106963e+30
382.0,-4.3393042558445294e+30
384.0,-4.3393043513910374e+30
386.0,-4.3393044477491425e+30
388.0,-4.3393045449216115e+30
390.0,-4.339304642911242e+30
392.0,-4.3393047417206883e+30
394.0,-4.339304841352783e+30
396.0,-4.339304941810212e+30
398.0,-4.33930504309572e+30
400.0,-4.339305145211908e+30
402.0,-4.339305248161579e+30
404.0,-4.3393053519473747e+30
406.0,-4.339305456571955e+30
408.0,-4.3393055620379324e+30
410.0,-4.3393056683479985e+30
412.0,-4.339305775504767e+30
414.0,-4.3393058835109305e+30
416.0,-4.3393059923689295e+30
418.0,-4.3393061020815406e+30
420.0,-4.3393062126512317e+30
422.0,-4.339306324080745e+30
424.0,-4.3393064363723997e+30
426.0,-4.3393065495290046e+30
428.0,-4.3393066635529183e+30
430.0,-4.339306778446904e+30
432.0,-4.3393068942132085e+30
434.0,-4.339307010854631e+30
436.0,-4.339307128373425e+30
438.0,-4.3393072467723977e+30
440.0,-4.339307366053675e+30
442.0,-4.3393074862201835e+30
444.0,-4.339307607273929e+30
446.0,-4.33930772921768e+30
448.0,-4.339307852053925e+30
450.0,-4.33930797578496e+30
452.0,-4.3393081004133336e+30
454.0,-4.3393082259414083e+30
456.0,-4.3393083523717015e+30
458.0,-4.339308479706536e+30
460.0,-4.339308607948384e+30
462.0,-4.3393087370996755e+30
464.0,-4.3393088671627895e+30
466.0,-4.339308998140054e+30
468.0,-4.3393091300339613e+30
470.0,-4.339309262846775e+30
472.0,-4.3393093965809374e+30
474.0,-4.3393095312388005e+30
476.0,-4.3393096668226965e+30
478.0,-4.339309803334987e+30
480.0,-4.339309940778019e+30
482.0,-4.3393100791541305e+30
484.0,-4.3393102184656025e+30
486.0,-4.3393103587148224e+30
488.0,-4.339310499904075e+30
490.0,-4.339310642035677e+30
492.0,-4.3393107851118977e+30
494.0,-4.339310929135086e+30
496.0,-4.339311074107472e+30
498.0,-4.339311220031408e+30
500.0,-4.339311366909138e+30
502.0,-4.339311514742901e+30
504.0,-4.339311663535005e+30
506.0,-4.339311813287686e+30
508.0,-4.339311964003199e+30
510.0,-4.339312115683786e+30
512.0,-4.339312268331715e+30
514.0,-4.339312421949204e+30
516.0,-4.3393125765384874e+30
518.0,-4.339312732101813e+30
520.0,-4.3393128886413784e+30
522.0,-4.3393130461593567e+30
524.0,-4.3393132046580253e+30
526.0,-4.339313364139513e+30
528.0,-4.339313524606121e+30
530.0,-4.3393136860599784e+30
532.0,-4.3393138485032717e+30
534.0,-4.339314011938136e+30
536.0,-4.339314176366889e+30
538.0,-4.3393143417915737e+30
540.0,-4.33931450821441e+30
542.0,-4.3393146756375965e+30
544.0,-4.339314844063175e+30
546.0,-4.339315013493403e+30
548.0,-4.3393151839304e+30
550.0,-4.33931535537631e+30
552.0,-4.3393155278332914e+30
554.0,-4.33931570130341e+30
556.0,-4.3393158757888723e+30
558.0,-4.3393160512917386e+30
560.0,-4.3393162278141963e+30
562.0,-4.3393164053583057e+30
564.0,-4.339316583926229e+30
566.0,-4.3393167635200196e+30
568.0,-4.3393169441418107e+30
570.0,-4.339317125793698e+30
572.0,-4.3393173084777705e+30
574.0,-4.339317492196143e+30
576.0,-4.3393176769508585e+30
578.0,-4.3393178627439895e+30
580.0,-4.3393180495776986e+30
582.0,-4.3393182374539477e+30
584.0,-4.3393184263748663e+30
586.0,-4.339318616342541e+30
588.0,-4.339318807358969e+30
590.0,-4.3393189994262845e+30
592.0,-4.3393191925465126e+30
594.0,-4.339319386721656e+30
596.0,-4.339319581953783e+30
598.0,-4.33931977824495e+30
600.0,-4.339319975597198e+30
